startup_id,month,monthly_revenue_usd,cash_balance_usd,monthly_burn_usd,monthly_churn_rate,customer_acquisition_cost_usd,sales_marketing_spend_usd,new_arr_usd,gross_margin,cac_payback_months,nps,headcount,avg_time_to_fill_days,macro_stress_index,runway_months,mom_revenue_growth,revenue_score,runway_score,retention_score,growth_efficiency_score,customer_sentiment_score,team_capacity_score,board_or_advisory_group,stage,industry,region,governance_score,sharf_score,risk_tier,burn_recommendation,fundraising_readiness,remediation_priority
ST003,2025-04-01,82659.04,518527.0,64663.04,0.0664,2799.63,19637.02,7293.65,0.8073,4.03,51,7,47,0.595,8.02,0.0074,36.4,33.5,44.7,95.1,78.9,61.4,False,Seed,Edtech,US Northeast,45.0,52.4,Watch,Hold spend and review runway,Delay and fix blockers,Runway
ST003,2025-05-01,94310.74,469259.08,59553.57,0.0157,1636.24,20484.67,159529.5,0.6119,2.38,40,7,56,0.58,7.88,0.141,92.1,32.5,86.9,100.0,66.7,48.6,False,Seed,Edtech,US Northeast,45.0,67.3,Watch,Hold spend and review runway,Prepare for outreach,Runway
ST003,2025-06-01,100738.2,445984.84,39825.13,0.0363,2571.56,56535.18,82386.09,0.7962,2.69,29,7,51,0.557,11.2,0.0682,61.8,54.7,69.8,100.0,54.4,55.7,False,Seed,Edtech,US Northeast,45.0,63.8,Watch,Hold spend and review runway,Prepare for outreach,Governance
ST003,2025-07-01,110309.76,394039.33,60914.53,0.0394,2420.87,49581.57,125771.94,0.8056,2.29,39,7,46,0.532,6.47,0.095,72.9,23.1,67.2,100.0,65.6,62.9,False,Seed,Edtech,US Northeast,45.0,59.5,Watch,Hold spend and review runway,Delay and fix blockers,Runway
ST003,2025-08-01,115487.93,357797.32,54049.4,0.0222,1024.16,19066.13,65054.92,0.6857,1.09,31,6,51,0.512,6.62,0.0469,52.9,24.1,81.5,100.0,56.7,55.7,False,Seed,Edtech,US Northeast,45.0,57.0,Watch,Hold spend and review runway,Delay and fix blockers,Runway
ST003,2025-09-01,128587.02,309849.15,57750.58,0.0614,2355.57,17993.29,175018.02,0.673,1.96,23,6,38,0.501,5.37,0.1134,80.6,15.8,48.8,100.0,47.8,74.3,False,Seed,Edtech,US Northeast,45.0,55.3,Watch,Reduce burn immediately,Delay and fix blockers,Runway
ST003,2025-10-01,132935.31,289619.3,37445.07,0.051,1732.85,34709.78,53944.05,0.778,1.21,18,6,60,0.502,7.73,0.0338,47.4,31.5,57.5,100.0,42.2,42.9,False,Seed,Edtech,US Northeast,45.0,51.4,Watch,Hold spend and review runway,Delay and fix blockers,Runway
ST003,2025-11-01,135607.56,273590.31,30893.32,0.0522,2204.31,16460.08,32711.56,0.7663,1.53,43,6,45,0.515,8.86,0.0201,41.7,39.1,56.5,100.0,70.0,64.3,False,Seed,Edtech,US Northeast,45.0,56.6,Watch,Hold spend and review runway,Delay and fix blockers,Runway
ST003,2025-12-01,131802.37,251034.47,45262.4,0.054,2241.52,29276.22,7908.14,0.7679,1.59,48,6,50,0.536,5.55,-0.0281,21.6,17.0,55.0,100.0,75.6,57.1,False,Seed,Edtech,US Northeast,45.0,47.4,Critical,Reduce burn immediately,Delay and fix blockers,Runway
ST004,2025-01-01,50003.96,2188793.5,45225.26,0.065,3650.74,32254.62,3000.24,0.895,4.89,25,5,62,0.574,48.4,0.0,33.3,100.0,45.8,91.0,50.0,40.0,False,Seed,Climate,US Northeast,45.0,62.8,Watch,Maintain planned spend,Prepare for outreach,Revenue growth
ST004,2025-02-01,50263.19,2143616.62,49756.25,0.0656,4401.62,68851.05,3126.84,0.6486,8.1,54,5,60,0.592,43.08,0.0052,35.5,100.0,45.3,75.7,82.2,42.9,False,Seed,Climate,US Northeast,45.0,64.4,Watch,Maintain planned spend,Prepare for outreach,Revenue growth
ST004,2025-03-01,55607.18,2101925.66,48112.05,0.0631,3389.78,65204.2,70946.0,0.7744,4.72,41,5,71,0.6,43.69,0.1063,77.6,100.0,47.4,91.8,67.8,27.1,False,Seed,Climate,US Northeast,45.0,71.9,Stable,Maintain planned spend,Prepare for outreach,Team capacity
ST004,2025-04-01,58259.79,2055311.07,50837.8,0.0826,2809.98,53563.63,33349.74,0.7132,4.06,22,7,74,0.595,40.43,0.0477,53.2,100.0,31.2,95.0,46.7,22.9,False,Seed,Climate,US Northeast,45.0,62.9,Watch,Maintain planned spend,Prepare for outreach,Team capacity
ST004,2025-05-01,57567.78,2010398.15,54964.02,0.1079,4052.69,67640.57,3454.07,0.6952,8.51,20,7,54,0.58,36.58,-0.0119,28.4,100.0,10.1,73.8,44.4,51.4,False,Seed,Climate,US Northeast,45.0,54.1,Watch,Hold spend and review runway,Delay and fix blockers,Retention
ST004,2025-06-01,59490.23,1954198.27,63235.28,0.0794,3429.15,74807.7,23839.88,0.8118,5.96,26,7,47,0.557,30.9,0.0334,47.2,100.0,33.8,85.9,51.1,61.4,False,Seed,Climate,US Northeast,45.0,64.5,Watch,Maintain planned spend,Prepare for outreach,Retention
ST004,2025-07-01,65536.91,1901300.73,59519.02,0.0877,3873.82,50276.56,79935.28,0.7607,6.53,33,7,46,0.532,31.94,0.1016,75.7,100.0,26.9,83.2,58.9,62.9,False,Seed,Climate,US Northeast,45.0,69.0,Watch,Maintain planned spend,Prepare for outreach,Retention
ST004,2025-08-01,65779.56,1842394.78,64692.43,0.0627,4427.8,28470.56,3946.77,0.5485,10.31,20,6,47,0.512,28.48,0.0037,34.9,100.0,47.7,65.2,44.4,61.4,False,Seed,Climate,US Northeast,45.0,60.9,Watch,Maintain planned spend,Prepare for outreach,Revenue growth
ST004,2025-09-01,68549.21,1801356.58,51264.19,0.0719,3239.06,34832.02,34635.2,0.7965,4.27,37,6,64,0.501,35.14,0.0421,50.9,100.0,40.1,94.0,63.3,37.1,False,Seed,Climate,US Northeast,45.0,66.5,Watch,Maintain planned spend,Prepare for outreach,Team capacity
ST004,2025-10-01,71618.59,1751106.19,62299.63,0.0575,3226.26,43489.56,38481.87,0.6404,5.06,30,6,46,0.502,28.11,0.0448,52.0,100.0,52.1,90.2,55.6,62.9,False,Seed,Climate,US Northeast,45.0,69.4,Watch,Maintain planned spend,Prepare for outreach,Governance
ST004,2025-11-01,73370.1,1703317.74,53150.03,0.0833,4203.93,87302.23,21532.06,0.7272,5.67,38,6,59,0.515,32.05,0.0245,43.5,100.0,30.6,87.3,64.4,44.3,False,Seed,Climate,US Northeast,45.0,63.4,Watch,Maintain planned spend,Prepare for outreach,Retention
ST004,2025-12-01,69590.54,1657511.1,55646.36,0.0764,3002.35,39383.59,4175.43,0.8469,3.67,29,6,62,0.536,29.79,-0.0515,11.9,100.0,36.3,96.8,54.4,40.0,False,Seed,Climate,US Northeast,45.0,58.6,Watch,Hold spend and review runway,Delay and fix blockers,Revenue growth
ST005,2025-01-01,16544.44,653358.97,103570.24,0.0006,5403.92,95918.04,992.67,0.8857,57.53,76,13,29,0.574,6.31,0.0,33.3,22.1,99.5,0.0,100.0,87.1,True,Series A,Fintech,US South,100.0,54.2,Watch,Hold spend and review runway,Delay and fix blockers,Growth efficiency
ST005,2025-02-01,16268.01,548088.9,108167.73,0.0229,4295.22,79429.76,976.08,0.7812,52.72,90,13,41,0.592,5.07,-0.0167,26.4,13.8,80.9,0.0,100.0,70.0,True,Series A,Fintech,US South,100.0,46.6,Critical,Reduce burn immediately,Delay and fix blockers,Growth efficiency
ST005,2025-03-01,16571.52,432186.65,116810.48,0.0,5569.37,91784.27,3710.03,0.6573,60.0,69,13,54,0.6,3.7,0.0187,41.1,4.7,100.0,0.0,98.9,51.4,True,Series A,Fintech,US South,100.0,48.5,Critical,Reduce burn immediately,Delay and fix blockers,Growth efficiency
ST005,2025-04-01,16726.59,334120.71,99008.73,0.0087,6070.35,30816.13,1878.24,0.7047,60.0,82,14,42,0.595,3.37,0.0094,37.3,2.5,92.8,0.0,100.0,68.6,True,Series A,Fintech,US South,100.0,47.6,Critical,Reduce burn immediately,Delay and fix blockers,Growth efficiency
ST005,2025-05-01,17136.9,222604.21,112902.8,0.0,6154.46,62049.56,5044.55,0.9,60.0,65,14,45,0.58,1.97,0.0245,43.5,0.0,100.0,0.0,94.4,64.3,True,Series A,Fintech,US South,100.0,48.4,Critical,Reduce burn immediately,Delay and fix blockers,Runway
ST005,2025-06-01,17794.25,107553.57,116136.54,0.0244,4440.78,97602.19,8190.67,0.7959,52.68,83,14,45,0.557,0.93,0.0384,49.3,0.0,79.7,0.0,100.0,64.3,True,Series A,Fintech,US South,100.0,46.8,Critical,Reduce burn immediately,Delay and fix blockers,Runway
ST005,2025-07-01,18622.4,0.0,122187.13,0.0,5346.86,71902.39,10400.31,0.7088,60.0,80,14,68,0.532,0.0,0.0465,52.7,0.0,100.0,0.0,100.0,31.4,True,Series A,Fintech,US South,100.0,48.0,Critical,Reduce burn immediately,Delay and fix blockers,Runway
ST005,2025-08-01,18507.77,0.0,124309.66,0.0214,5918.33,126099.32,1110.47,0.7141,60.0,80,13,37,0.512,0.0,-0.0062,30.8,0.0,82.2,0.0,100.0,75.7,True,Series A,Fintech,US South,100.0,44.8,Critical,Reduce burn immediately,Delay and fix blockers,Runway
ST005,2025-09-01,19170.94,0.0,111013.94,0.0239,4961.2,74629.7,8243.14,0.5348,60.0,83,13,40,0.501,0.0,0.0358,48.2,0.0,80.1,0.0,100.0,71.4,True,Series A,Fintech,US South,100.0,47.2,Critical,Reduce burn immediately,Delay and fix blockers,Runway
ST005,2025-10-01,18830.17,0.0,120221.33,0.0251,5480.05,100422.01,1129.81,0.771,58.88,86,13,56,0.502,0.0,-0.0178,25.9,0.0,79.1,0.0,100.0,48.6,True,Series A,Fintech,US South,100.0,41.2,Critical,Reduce burn immediately,Delay and fix blockers,Runway
ST005,2025-11-01,21153.16,0.0,104851.78,0.0057,4988.69,33584.87,31314.81,0.8033,45.8,80,13,43,0.515,0.0,0.1234,84.8,0.0,95.2,0.0,100.0,67.1,True,Series A,Fintech,US South,100.0,55.9,Watch,Reduce burn immediately,Delay and fix blockers,Runway
ST005,2025-12-01,22667.4,0.0,109843.34,0.0024,4827.12,29513.09,19471.68,0.5544,59.93,75,13,46,0.536,0.0,0.0716,63.2,0.0,98.0,0.0,100.0,62.9,True,Series A,Fintech,US South,100.0,52.1,Watch,Reduce burn immediately,Delay and fix blockers,Runway
ST006,2025-01-01,115588.54,1254331.54,84357.36,0.0493,6092.21,30588.75,6935.31,0.6572,9.62,20,10,37,0.574,14.87,0.0,33.3,79.1,58.9,68.5,44.4,75.7,True,Series A,Marketplace,US South,100.0,64.5,Watch,Maintain planned spend,Prepare for outreach,Revenue growth
ST006,2025-02-01,110904.48,1191832.01,80172.88,0.0499,6331.2,83303.95,6654.27,0.5575,12.29,13,10,69,0.592,14.87,-0.0405,16.5,79.1,58.4,55.8,36.7,30.0,True,Series A,Marketplace,US South,100.0,55.2,Watch,Hold spend and review runway,Delay and fix blockers,Revenue growth
ST006,2025-03-01,117661.88,1113274.43,91488.63,0.053,5744.85,42221.69,86029.66,0.7839,7.47,26,10,54,0.6,12.17,0.0609,58.7,61.1,55.8,78.7,51.1,51.4,True,Series A,Marketplace,US South,100.0,64.4,Watch,Maintain planned spend,Prepare for outreach,Customer sentiment
ST006,2025-04-01,128041.42,1040471.32,89527.8,0.0599,6364.79,123734.13,135541.96,0.6584,9.06,25,11,63,0.595,11.62,0.0882,70.1,57.5,50.1,71.1,50.0,38.6,True,Series A,Marketplace,US South,100.0,62.5,Watch,Hold spend and review runway,Prepare for outreach,Team capacity
ST006,2025-05-01,137514.44,981430.53,70461.95,0.0411,5149.51,111945.35,122086.55,0.9,5.49,33,11,41,0.58,13.93,0.074,64.2,72.9,65.8,88.1,58.9,70.0,True,Series A,Marketplace,US South,100.0,73.4,Stable,Maintain planned spend,Prepare for outreach,Customer sentiment
ST006,2025-06-01,150281.8,911984.36,81187.12,0.0542,6109.05,33643.72,167432.76,0.791,6.78,10,11,52,0.557,11.23,0.0928,72.0,54.9,54.8,82.0,33.3,54.3,True,Series A,Marketplace,US South,100.0,64.1,Watch,Hold spend and review runway,Prepare for outreach,Customer sentiment
ST006,2025-07-01,152607.74,871825.34,62442.11,0.0689,5836.16,41684.48,28343.2,0.8481,5.95,24,11,38,0.532,13.96,0.0155,39.8,73.1,42.6,86.0,48.9,74.3,True,Series A,Marketplace,US South,100.0,64.4,Watch,Maintain planned spend,Prepare for outreach,Revenue growth
ST006,2025-08-01,163000.67,815254.56,64805.73,0.0447,6679.45,47807.98,133208.51,0.8115,6.67,26,13,52,0.512,12.58,0.0681,61.7,63.9,62.8,82.5,51.1,54.3,True,Series A,Marketplace,US South,100.0,67.5,Watch,Maintain planned spend,Prepare for outreach,Customer sentiment
ST006,2025-09-01,168741.13,744323.82,80476.01,0.0288,5969.22,114705.47,71311.57,0.7713,7.15,22,13,63,0.501,9.25,0.0352,48.0,41.7,76.0,80.2,46.7,38.6,True,Series A,Marketplace,US South,100.0,59.8,Watch,Hold spend and review runway,Delay and fix blockers,Team capacity
ST006,2025-10-01,186395.68,669335.58,99107.87,0.0278,5877.83,101910.26,234019.81,0.7703,6.39,34,13,49,0.502,6.75,0.1046,76.9,25.0,76.8,83.9,60.0,58.6,True,Series A,Marketplace,US South,100.0,64.6,Watch,Hold spend and review runway,Prepare for outreach,Runway
ST006,2025-11-01,182258.88,598748.88,79995.1,0.0418,5830.63,38477.64,10935.53,0.6997,7.13,24,13,46,0.515,7.48,-0.0222,24.1,29.9,65.2,80.3,48.9,62.9,True,Series A,Marketplace,US South,100.0,53.1,Watch,Hold spend and review runway,Delay and fix blockers,Revenue growth
ST006,2025-12-01,193094.8,540902.5,71980.43,0.0679,5057.65,88354.19,137761.83,0.5707,7.16,24,13,52,0.536,7.51,0.0595,58.1,30.1,43.4,80.2,48.9,54.3,True,Series A,Marketplace,US South,100.0,55.1,Watch,Hold spend and review runway,Delay and fix blockers,Runway
ST007,2025-01-01,33224.25,1790115.55,33376.3,0.0889,5265.64,113984.36,5379.8,0.7131,8.0,12,3,76,0.574,53.63,0.0,33.3,100.0,25.9,76.2,35.6,20.0,False,Pre-seed,Edtech,US Midwest,45.0,54.5,Watch,Maintain planned spend,Delay and fix blockers,Team capacity
ST007,2025-02-01,34190.13,1756942.44,37588.3,0.0795,3870.58,80900.9,11927.54,0.8175,4.99,8,3,66,0.592,46.74,0.0291,45.5,100.0,33.8,90.5,31.1,34.3,False,Pre-seed,Edtech,US Midwest,45.0,60.6,Watch,Maintain planned spend,Prepare for outreach,Customer sentiment
ST007,2025-03-01,35415.26,1720727.85,38735.21,0.0727,3196.25,29217.34,15228.3,0.7933,4.1,1,3,55,0.6,44.42,0.0358,48.2,100.0,39.4,94.8,23.3,50.0,False,Pre-seed,Edtech,US Midwest,45.0,63.1,Watch,Maintain planned spend,Prepare for outreach,Customer sentiment
ST007,2025-04-01,36789.09,1687473.39,35982.35,0.0601,3938.65,22717.89,17125.46,0.7363,5.23,5,3,64,0.595,46.9,0.0388,49.5,100.0,49.9,89.4,27.8,37.1,False,Pre-seed,Edtech,US Midwest,45.0,63.7,Watch,Maintain planned spend,Prepare for outreach,Customer sentiment
ST007,2025-05-01,34223.64,1657384.74,33111.31,0.0701,4241.19,92193.51,2053.42,0.758,5.89,0,3,41,0.58,50.05,-0.0697,4.3,100.0,41.6,86.2,22.2,70.0,False,Pre-seed,Edtech,US Midwest,45.0,55.8,Watch,Hold spend and review runway,Delay and fix blockers,Revenue growth
ST007,2025-06-01,33348.2,1623577.85,37871.26,0.0319,3313.63,47120.48,2000.89,0.6734,5.31,7,3,56,0.557,42.87,-0.0256,22.7,100.0,73.4,89.0,30.0,48.6,False,Pre-seed,Edtech,US Midwest,45.0,63.7,Watch,Hold spend and review runway,Prepare for outreach,Revenue growth
ST007,2025-07-01,33937.03,1590536.41,37981.54,0.0744,3399.97,60928.4,7190.7,0.7712,4.68,11,3,74,0.532,41.88,0.0177,40.7,100.0,38.0,92.0,34.4,22.9,False,Pre-seed,Edtech,US Midwest,45.0,60.1,Watch,Maintain planned spend,Prepare for outreach,Team capacity
ST007,2025-08-01,33963.56,1554059.52,38618.35,0.0692,3647.64,43883.53,2037.81,0.6799,5.69,16,5,47,0.512,40.24,0.0008,33.7,100.0,42.3,87.2,40.0,61.4,False,Pre-seed,Edtech,US Midwest,45.0,62.5,Watch,Maintain planned spend,Prepare for outreach,Revenue growth
ST007,2025-09-01,37000.59,1508673.99,48867.72,0.0716,4986.71,38603.74,39703.25,0.5895,13.72,7,5,56,0.501,30.87,0.0894,70.6,100.0,40.3,49.0,30.0,48.6,False,Pre-seed,Edtech,US Midwest,45.0,61.4,Watch,Maintain planned spend,Prepare for outreach,Customer sentiment
ST007,2025-10-01,37136.5,1467210.76,45877.53,0.0742,4109.33,29325.35,2228.19,0.7461,8.9,15,5,69,0.502,31.98,0.0037,34.9,100.0,38.2,71.9,38.9,30.0,False,Pre-seed,Edtech,US Midwest,45.0,57.2,Watch,Maintain planned spend,Delay and fix blockers,Team capacity
ST007,2025-11-01,41800.09,1423830.39,46599.11,0.0606,4757.49,97939.63,62990.91,0.8093,8.44,22,5,61,0.515,30.55,0.1256,85.7,100.0,49.5,74.1,46.7,41.4,False,Pre-seed,Edtech,US Midwest,45.0,70.2,Stable,Maintain planned spend,Prepare for outreach,Team capacity
ST007,2025-12-01,46012.7,1381173.49,46077.53,0.0192,4456.16,57791.59,55645.85,0.45,12.91,18,5,61,0.536,29.97,0.1008,75.3,100.0,84.0,52.8,42.2,41.4,False,Pre-seed,Edtech,US Midwest,45.0,70.4,Stable,Maintain planned spend,Prepare for outreach,Team capacity
ST008,2025-01-01,26455.44,616854.38,121615.16,0.0285,5416.75,52950.0,23889.15,0.6308,54.53,40,14,60,0.574,5.07,0.0,33.3,13.8,76.2,0.0,66.7,42.9,True,Seed,Marketplace,US West,100.0,41.6,Critical,Reduce burn immediately,Delay and fix blockers,Growth efficiency
ST008,2025-02-01,27898.09,517063.02,102611.31,0.0404,4890.99,62793.93,18255.84,0.6567,44.85,42,14,32,0.592,5.04,0.0545,56.0,13.6,66.3,0.0,68.9,82.9,True,Seed,Marketplace,US West,100.0,47.5,Critical,Reduce burn immediately,Delay and fix blockers,Growth efficiency
ST008,2025-03-01,30045.05,407938.21,111319.32,0.0411,5648.75,71421.37,27746.26,0.7906,39.95,49,14,46,0.6,3.66,0.077,65.4,4.4,65.8,0.0,76.7,62.9,True,Seed,Marketplace,US West,100.0,46.1,Critical,Reduce burn immediately,Delay and fix blockers,Growth efficiency
ST008,2025-04-01,30827.55,298116.56,112831.15,0.0523,5381.23,92752.51,9634.55,0.7682,38.17,46,14,51,0.595,2.64,0.026,44.2,0.0,56.4,0.0,73.3,55.7,True,Seed,Marketplace,US West,100.0,38.8,Critical,Reduce burn immediately,Delay and fix blockers,Runway
ST008,2025-05-01,32353.12,203576.57,98008.46,0.0314,5624.95,90808.07,19212.75,0.7936,36.8,52,14,54,0.58,2.08,0.0495,54.0,0.0,73.8,0.0,80.0,51.4,True,Seed,Marketplace,US West,100.0,43.6,Critical,Reduce burn immediately,Delay and fix blockers,Runway
